OrgId,Address1,Amount,AutoNonRecurringTax,BankAccountNo,CauseCode,City,ClearingNo,CostCenter,Country,Date,DatedSchedulesExtended,DatedWages,Email,EmployedTo,EmployeeId,EmploymentDate,EmploymentForm,Extent,ForaType,FullName,HolidayEntitling,HourlyPay,Hours,Inactive,JobTitle,MonthlySalary,NonRecurringTax,PersonalIdentityNumber,PersonelType,Phone1,Phone2,PostCode,Project,SalaryCode,SalaryForm,TaxAllowance,TaxColumn,TaxTable,Total,VAT
ORG-1001,address1_value_1,137.50,autononrecurringtax_value_1,BANKAC-001,causecode_value_1,Bergen,CLEARI-001,137.50,NO,2026-01-05,datedschedulesextended_value_1,datedwages_value_1,email_value_1,2026-01-05,EMPLOY-001,2026-01-05,employmentform_value_1,extent_value_1,foratype_value_1,fullname_value_1,holidayentitling_value_1,hourlypay_value_1,hours_value_1,inactive_value_1,jobtitle_value_1,monthlysalary_value_1,nonrecurringtax_value_1,PERSON-001,personeltype_value_1,phone1_value_1,phone2_value_1,postcode_value_1,project_value_1,salarycode_value_1,salaryform_value_1,taxallowance_value_1,taxcolumn_value_1,taxtable_value_1,137.50,vat_value_1
ORG-1002,address1_value_2,275.00,autononrecurringtax_value_2,BANKAC-002,causecode_value_2,Uppsala,CLEARI-002,275.00,SE,2026-01-12,datedschedulesextended_value_2,datedwages_value_2,email_value_2,2026-01-12,EMPLOY-002,2026-01-12,employmentform_value_2,extent_value_2,foratype_value_2,fullname_value_2,holidayentitling_value_2,hourlypay_value_2,hours_value_2,inactive_value_2,jobtitle_value_2,monthlysalary_value_2,nonrecurringtax_value_2,PERSON-002,personeltype_value_2,phone1_value_2,phone2_value_2,postcode_value_2,project_value_2,salarycode_value_2,salaryform_value_2,taxallowance_value_2,taxcolumn_value_2,taxtable_value_2,275.00,vat_value_2
ORG-1003,address1_value_3,412.50,autononrecurringtax_value_3,BANKAC-003,causecode_value_3,Aarhus,CLEARI-003,412.50,DK,2026-01-19,datedschedulesextended_value_3,datedwages_value_3,email_value_3,2026-01-19,EMPLOY-003,2026-01-19,employmentform_value_3,extent_value_3,foratype_value_3,fullname_value_3,holidayentitling_value_3,hourlypay_value_3,hours_value_3,inactive_value_3,jobtitle_value_3,monthlysalary_value_3,nonrecurringtax_value_3,PERSON-003,personeltype_value_3,phone1_value_3,phone2_value_3,postcode_value_3,project_value_3,salarycode_value_3,salaryform_value_3,taxallowance_value_3,taxcolumn_value_3,taxtable_value_3,412.50,vat_value_3
ORG-1004,address1_value_4,550.00,autononrecurringtax_value_4,BANKAC-004,causecode_value_4,Tampere,CLEARI-004,550.00,FI,2026-01-26,datedschedulesextended_value_4,datedwages_value_4,email_value_4,2026-01-26,EMPLOY-004,2026-01-26,employmentform_value_4,extent_value_4,foratype_value_4,fullname_value_4,holidayentitling_value_4,hourlypay_value_4,hours_value_4,inactive_value_4,jobtitle_value_4,monthlysalary_value_4,nonrecurringtax_value_4,PERSON-004,personeltype_value_4,phone1_value_4,phone2_value_4,postcode_value_4,project_value_4,salarycode_value_4,salaryform_value_4,taxallowance_value_4,taxcolumn_value_4,taxtable_value_4,550.00,vat_value_4
ORG-1001,address1_value_5,687.50,autononrecurringtax_value_5,BANKAC-005,causecode_value_5,Stavanger,CLEARI-005,687.50,NO,2026-02-02,datedschedulesextended_value_5,datedwages_value_5,email_value_5,2026-02-02,EMPLOY-005,2026-02-02,employmentform_value_5,extent_value_5,foratype_value_5,fullname_value_5,holidayentitling_value_5,hourlypay_value_5,hours_value_5,inactive_value_5,jobtitle_value_5,monthlysalary_value_5,nonrecurringtax_value_5,PERSON-005,personeltype_value_5,phone1_value_5,phone2_value_5,postcode_value_5,project_value_5,salarycode_value_5,salaryform_value_5,taxallowance_value_5,taxcolumn_value_5,taxtable_value_5,687.50,vat_value_5
ORG-1002,address1_value_6,825.00,autononrecurringtax_value_6,BANKAC-006,causecode_value_6,Malmo,CLEARI-006,825.00,SE,2026-02-09,datedschedulesextended_value_6,datedwages_value_6,email_value_6,2026-02-09,EMPLOY-006,2026-02-09,employmentform_value_6,extent_value_6,foratype_value_6,fullname_value_6,holidayentitling_value_6,hourlypay_value_6,hours_value_6,inactive_value_6,jobtitle_value_6,monthlysalary_value_6,nonrecurringtax_value_6,PERSON-006,personeltype_value_6,phone1_value_6,phone2_value_6,postcode_value_6,project_value_6,salarycode_value_6,salaryform_value_6,taxallowance_value_6,taxcolumn_value_6,taxtable_value_6,825.00,vat_value_6
ORG-1003,address1_value_7,962.50,autononrecurringtax_value_7,BANKAC-007,causecode_value_7,Trondheim,CLEARI-007,962.50,NO,2026-02-16,datedschedulesextended_value_7,datedwages_value_7,email_value_7,2026-02-16,EMPLOY-007,2026-02-16,employmentform_value_7,extent_value_7,foratype_value_7,fullname_value_7,holidayentitling_value_7,hourlypay_value_7,hours_value_7,inactive_value_7,jobtitle_value_7,monthlysalary_value_7,nonrecurringtax_value_7,PERSON-007,personeltype_value_7,phone1_value_7,phone2_value_7,postcode_value_7,project_value_7,salarycode_value_7,salaryform_value_7,taxallowance_value_7,taxcolumn_value_7,taxtable_value_7,962.50,vat_value_7
ORG-1004,address1_value_8,1100.00,autononrecurringtax_value_8,BANKAC-008,causecode_value_8,Odense,CLEARI-008,1100.00,DK,2026-02-23,datedschedulesextended_value_8,datedwages_value_8,email_value_8,2026-02-23,EMPLOY-008,2026-02-23,employmentform_value_8,extent_value_8,foratype_value_8,fullname_value_8,holidayentitling_value_8,hourlypay_value_8,hours_value_8,inactive_value_8,jobtitle_value_8,monthlysalary_value_8,nonrecurringtax_value_8,PERSON-008,personeltype_value_8,phone1_value_8,phone2_value_8,postcode_value_8,project_value_8,salarycode_value_8,salaryform_value_8,taxallowance_value_8,taxcolumn_value_8,taxtable_value_8,1100.00,vat_value_8
ORG-1001,address1_value_9,1237.50,autononrecurringtax_value_9,BANKAC-009,causecode_value_9,Stockholm,CLEARI-009,1237.50,SE,2026-03-02,datedschedulesextended_value_9,datedwages_value_9,email_value_9,2026-03-02,EMPLOY-009,2026-03-02,employmentform_value_9,extent_value_9,foratype_value_9,fullname_value_9,holidayentitling_value_9,hourlypay_value_9,hours_value_9,inactive_value_9,jobtitle_value_9,monthlysalary_value_9,nonrecurringtax_value_9,PERSON-009,personeltype_value_9,phone1_value_9,phone2_value_9,postcode_value_9,project_value_9,salarycode_value_9,salaryform_value_9,taxallowance_value_9,taxcolumn_value_9,taxtable_value_9,1237.50,vat_value_9
ORG-1002,address1_value_10,1375.00,autononrecurringtax_value_10,BANKAC-010,causecode_value_10,Oslo,CLEARI-010,1375.00,NO,2026-03-09,datedschedulesextended_value_10,datedwages_value_10,email_value_10,2026-03-09,EMPLOY-010,2026-03-09,employmentform_value_10,extent_value_10,foratype_value_10,fullname_value_10,holidayentitling_value_10,hourlypay_value_10,hours_value_10,inactive_value_10,jobtitle_value_10,monthlysalary_value_10,nonrecurringtax_value_10,PERSON-010,personeltype_value_10,phone1_value_10,phone2_value_10,postcode_value_10,project_value_10,salarycode_value_10,salaryform_value_10,taxallowance_value_10,taxcolumn_value_10,taxtable_value_10,1375.00,vat_value_10
ORG-1003,address1_value_11,1512.50,autononrecurringtax_value_11,BANKAC-011,causecode_value_11,Copenhagen,CLEARI-011,1512.50,DK,2026-03-16,datedschedulesextended_value_11,datedwages_value_11,email_value_11,2026-03-16,EMPLOY-011,2026-03-16,employmentform_value_11,extent_value_11,foratype_value_11,fullname_value_11,holidayentitling_value_11,hourlypay_value_11,hours_value_11,inactive_value_11,jobtitle_value_11,monthlysalary_value_11,nonrecurringtax_value_11,PERSON-011,personeltype_value_11,phone1_value_11,phone2_value_11,postcode_value_11,project_value_11,salarycode_value_11,salaryform_value_11,taxallowance_value_11,taxcolumn_value_11,taxtable_value_11,1512.50,vat_value_11
ORG-1004,address1_value_12,1650.00,autononrecurringtax_value_12,BANKAC-012,causecode_value_12,Helsinki,CLEARI-012,1650.00,FI,2026-03-23,datedschedulesextended_value_12,datedwages_value_12,email_value_12,2026-03-23,EMPLOY-012,2026-03-23,employmentform_value_12,extent_value_12,foratype_value_12,fullname_value_12,holidayentitling_value_12,hourlypay_value_12,hours_value_12,inactive_value_12,jobtitle_value_12,monthlysalary_value_12,nonrecurringtax_value_12,PERSON-012,personeltype_value_12,phone1_value_12,phone2_value_12,postcode_value_12,project_value_12,salarycode_value_12,salaryform_value_12,taxallowance_value_12,taxcolumn_value_12,taxtable_value_12,1650.00,vat_value_12
