OrgId,client,closeDate,date,description,id,isAppointment,lastOutcome,notes,opportunity,parentActivityId,parentAppointmentId,priority,project,projectPlan,regBy,regDate
ORG-1001,Bergen Bygg AS,2026-01-05,2026-01-05,description_value_1,KEY-001,false,lastoutcome_value_1,notes_value_1,opportunity_value_1,PARENT-001,PARENT-001,priority_value_1,project_value_1,projectplan_value_1,regby_value_1,2026-01-05
ORG-1002,Uppsala Livsmedel AB,2026-01-12,2026-01-12,description_value_2,KEY-002,true,lastoutcome_value_2,notes_value_2,opportunity_value_2,PARENT-002,PARENT-002,priority_value_2,project_value_2,projectplan_value_2,regby_value_2,2026-01-12
ORG-1003,Aarhus Elektronik ApS,2026-01-19,2026-01-19,description_value_3,KEY-003,true,lastoutcome_value_3,notes_value_3,opportunity_value_3,PARENT-003,PARENT-003,priority_value_3,project_value_3,projectplan_value_3,regby_value_3,2026-01-19
ORG-1004,Tampere Kone Oy,2026-01-26,2026-01-26,description_value_4,KEY-004,false,lastoutcome_value_4,notes_value_4,opportunity_value_4,PARENT-004,PARENT-004,priority_value_4,project_value_4,projectplan_value_4,regby_value_4,2026-01-26
ORG-1001,Stavanger Marine AS,2026-02-02,2026-02-02,description_value_5,KEY-005,true,lastoutcome_value_5,notes_value_5,opportunity_value_5,PARENT-005,PARENT-005,priority_value_5,project_value_5,projectplan_value_5,regby_value_5,2026-02-02
ORG-1002,Malmo Emballage AB,2026-02-09,2026-02-09,description_value_6,KEY-006,true,lastoutcome_value_6,notes_value_6,opportunity_value_6,PARENT-006,PARENT-006,priority_value_6,project_value_6,projectplan_value_6,regby_value_6,2026-02-09
ORG-1003,Trondheim Verktoy AS,2026-02-16,2026-02-16,description_value_7,KEY-007,false,lastoutcome_value_7,notes_value_7,opportunity_value_7,PARENT-007,PARENT-007,priority_value_7,project_value_7,projectplan_value_7,regby_value_7,2026-02-16
ORG-1004,Odense Papir ApS,2026-02-23,2026-02-23,description_value_8,KEY-008,true,lastoutcome_value_8,notes_value_8,opportunity_value_8,PARENT-008,PARENT-008,priority_value_8,project_value_8,projectplan_value_8,regby_value_8,2026-02-23
ORG-1001,Astrid Lindqvist,2026-03-02,2026-03-02,description_value_9,KEY-009,true,lastoutcome_value_9,notes_value_9,opportunity_value_9,PARENT-009,PARENT-009,priority_value_9,project_value_9,projectplan_value_9,regby_value_9,2026-03-02
ORG-1002,Henrik Dahl,2026-03-09,2026-03-09,description_value_10,KEY-010,false,lastoutcome_value_10,notes_value_10,opportunity_value_10,PARENT-010,PARENT-010,priority_value_10,project_value_10,projectplan_value_10,regby_value_10,2026-03-09
ORG-1003,Mette Sorensen,2026-03-16,2026-03-16,description_value_11,KEY-011,true,lastoutcome_value_11,notes_value_11,opportunity_value_11,PARENT-011,PARENT-011,priority_value_11,project_value_11,projectplan_value_11,regby_value_11,2026-03-16
ORG-1004,Jukka Virtanen,2026-03-23,2026-03-23,description_value_12,KEY-012,true,lastoutcome_value_12,notes_value_12,opportunity_value_12,PARENT-012,PARENT-012,priority_value_12,project_value_12,projectplan_value_12,regby_value_12,2026-03-23
