id,email,country_code,created_at,_fivetran_synced,_fivetran_deleted
c_0001,customer0001@example.com,ca,2026-02-11 01:40:57,2026-08-04 00:35:57,false
c_0002,customer0002@example.com,gb,2025-03-30 01:40:57,2026-08-04 01:22:57,false
c_0003,customer0003@example.com,fr,2024-02-23 01:40:57,2026-08-04 00:14:57,false
c_0004,customer0004@example.com,de,2024-02-16 01:40:57,2026-08-04 01:16:57,false
c_0005,customer0005@example.com,es,2024-11-14 01:40:57,2026-08-04 00:11:57,false
c_0006,customer0006@example.com,mx,2025-03-15 01:40:57,2026-08-04 00:23:57,false
c_0007,customer0007@example.com,NL,2025-03-01 01:40:57,2026-08-04 00:20:57,false
c_0008,customer0008@example.com,se,2024-04-28 01:40:57,2026-08-04 00:52:57,false
c_0009,customer0009@example.com,it,2024-05-14 01:40:57,2026-08-04 01:21:57,false
c_0010,customer0010@example.com,us,2025-06-01 01:40:57,2026-08-04 01:30:57,false
c_0011,customer0011@example.com,ca,2026-02-07 01:40:57,2026-08-04 01:01:57,false
c_0012,customer0012@example.com,gb,2025-11-04 01:40:57,2026-08-04 00:58:57,false
c_0013,customer0013@example.com,fr,2026-03-12 01:40:57,2026-08-04 01:11:57,false
c_0014,customer0014@example.com,DE,2025-11-07 01:40:57,2026-08-04 01:35:57,false
c_0015,customer0015@example.com,es,2024-12-21 01:40:57,2026-08-04 01:22:57,false
c_0016,customer0016@example.com,mx,2025-10-12 01:40:57,2026-08-04 00:58:57,false
c_0017,customer0017@example.com,nl,2025-08-01 01:40:57,2026-08-04 01:16:57,false
c_0018,customer0018@example.com,se,2026-06-18 01:40:57,2026-08-04 01:23:57,false
c_0019,customer0019@example.com,it,2026-05-25 01:40:57,2026-08-04 00:58:57,false
c_0020,customer0020@example.com,us,2025-01-02 01:40:57,2026-08-04 01:18:57,false
c_0021,customer0021@example.com,CA,2025-01-22 01:40:57,2026-08-04 00:43:57,false
c_0022,customer0022@example.com,gb,2025-11-19 01:40:57,2026-08-04 01:07:57,false
c_0023,customer0023@example.com,fr,2025-02-03 01:40:57,2026-08-04 01:19:57,false
c_0024,customer0024@example.com,de,2025-04-18 01:40:57,2026-08-04 00:21:57,false
c_0025,customer0025@example.com,es,2024-09-19 01:40:57,2026-08-04 00:43:57,false
c_0026,customer0026@example.com,mx,2024-10-22 01:40:57,2026-08-04 01:18:57,false
c_0027,customer0027@example.com,nl,2024-10-25 01:40:57,2026-08-04 01:03:57,false
c_0028,customer0028@example.com,SE,2026-05-25 01:40:57,2026-08-04 00:14:57,false
c_0029,customer0029@example.com,it,2025-05-25 01:40:57,2026-08-04 00:13:57,false
c_0030,customer0030@example.com,us,2025-11-27 01:40:57,2026-08-04 00:51:57,false
c_0031,customer0031@example.com,ca,2026-01-21 01:40:57,2026-08-04 00:50:57,false
c_0032,customer0032@example.com,gb,2024-10-03 01:40:57,2026-08-04 00:14:57,false
c_0033,customer0033@example.com,fr,2025-04-09 01:40:57,2026-08-04 00:26:57,false
c_0034,customer0034@example.com,de,2026-03-21 01:40:57,2026-08-04 01:21:57,false
c_0035,customer0035@example.com,ES,2025-03-07 01:40:57,2026-08-04 00:44:57,false
c_0036,customer0036@example.com,mx,2024-05-20 01:40:57,2026-08-04 00:51:57,false
c_0037,customer0037@example.com,nl,2025-07-20 01:40:57,2026-08-04 00:52:57,false
c_0038,customer0038@example.com,se,2024-07-22 01:40:57,2026-08-04 01:10:57,false
c_0039,customer0039@example.com,it,2024-11-22 01:40:57,2026-08-04 01:29:57,false
c_0040,customer0040@example.com,us,2025-11-05 01:40:57,2026-08-04 00:30:57,false
c_0041,customer0041@example.com,ca,2025-03-12 01:40:57,2026-08-04 00:32:57,false
c_0042,customer0042@example.com,GB,2024-10-03 01:40:57,2026-08-04 00:58:57,false
c_0043,customer0043@example.com,fr,2024-02-23 01:40:57,2026-08-04 00:11:57,false
c_0044,customer0044@example.com,de,2025-10-09 01:40:57,2026-08-04 01:22:57,false
c_0045,customer0045@example.com,es,2024-06-11 01:40:57,2026-08-04 00:58:57,false
c_0046,customer0046@example.com,mx,2025-01-01 01:40:57,2026-08-04 00:26:57,false
c_0047,customer0047@example.com,nl,2025-05-26 01:40:57,2026-08-04 01:12:57,false
c_0048,customer0048@example.com,se,2026-04-29 01:40:57,2026-08-04 00:51:57,false
c_0049,customer0049@example.com,IT,2024-08-18 01:40:57,2026-08-04 01:31:57,false
c_0050,customer0050@example.com,us,2024-03-05 01:40:57,2026-08-04 00:22:57,false
c_0051,customer0051@example.com,ca,2025-06-30 01:40:57,2026-08-04 01:05:57,false
c_0052,customer0052@example.com,gb,2024-02-25 01:40:57,2026-08-04 01:31:57,false
c_0053,customer0053@example.com,fr,2025-11-24 01:40:57,2026-08-04 00:37:57,false
c_0054,customer0054@example.com,de,2026-04-01 01:40:57,2026-08-04 00:40:57,false
c_0055,customer0055@example.com,es,2026-04-03 01:40:57,2026-08-04 01:15:57,false
c_0056,customer0056@example.com,MX,2025-03-29 01:40:57,2026-08-04 01:09:57,false
c_0057,customer0057@example.com,nl,2025-04-30 01:40:57,2026-08-04 01:19:57,false
