customer_ref,email_address,country,signed_up_at,exported_at
pc_0001,till0001@example.com,fr,2024-11-05 01:40:57,2026-08-03 22:40:57
pc_0002,till0002@example.com,mx,2024-11-01 01:40:57,2026-08-03 22:40:57
pc_0003,till0003@example.com, it ,2025-03-28 01:40:57,2026-08-03 22:40:57
pc_0004,till0004@example.com,gb,2026-06-26 01:40:57,2026-08-03 22:40:57
pc_0005,till0005@example.com,ES,2025-06-28 01:40:57,2026-08-03 22:40:57
pc_0006,till0006@example.com,se,2026-07-08 01:40:57,2026-08-03 22:40:57
pc_0007,till0007@example.com,ca,2025-02-16 01:40:57,2026-08-03 22:40:57
pc_0008,till0008@example.com,de,2026-04-27 01:40:57,2026-08-03 22:40:57
pc_0009,till0009@example.com,nl,2024-12-14 01:40:57,2026-08-03 22:40:57
pc_0010,till0010@example.com,US,2025-09-09 01:40:57,2026-08-03 22:40:57
pc_0011,till0011@example.com,fr,2025-12-05 01:40:57,2026-08-03 22:40:57
pc_0012,till0012@example.com,mx,2026-05-24 01:40:57,2026-08-03 22:40:57
pc_0013,till0013@example.com,it,2026-05-01 01:40:57,2026-08-03 22:40:57
pc_0014,till0014@example.com,gb,2025-09-12 01:40:57,2026-08-03 22:40:57
pc_0015,till0015@example.com,ES,2026-06-12 01:40:57,2026-08-03 22:40:57
pc_0016,till0016@example.com,se,2026-04-14 01:40:57,2026-08-03 22:40:57
pc_0017,till0017@example.com,ca,2025-04-09 01:40:57,2026-08-03 22:40:57
pc_0018,till0018@example.com,de,2026-04-30 01:40:57,2026-08-03 22:40:57
pc_0019,till0019@example.com,nl,2025-11-26 01:40:57,2026-08-03 22:40:57
pc_0020,till0020@example.com,US,2025-07-12 01:40:57,2026-08-03 22:40:57
pc_0021,till0021@example.com,fr,2024-09-11 01:40:57,2026-08-03 22:40:57
pc_0022,till0022@example.com,mx,2025-07-02 01:40:57,2026-08-03 22:40:57
pc_0023,till0023@example.com,it,2024-09-08 01:40:57,2026-08-03 22:40:57
pc_0024,till0024@example.com,gb,2025-07-22 01:40:57,2026-08-03 22:40:57
pc_0025,till0025@example.com,ES,2024-11-10 01:40:57,2026-08-03 22:40:57
pc_0026,till0026@example.com,se,2025-12-27 01:40:57,2026-08-03 22:40:57
pc_0027,till0027@example.com,ca,2025-06-11 01:40:57,2026-08-03 22:40:57
pc_0028,till0028@example.com,de,2026-01-24 01:40:57,2026-08-03 22:40:57
pc_0029,till0029@example.com,nl,2025-07-30 01:40:57,2026-08-03 22:40:57
pc_0030,till0030@example.com,US,2025-07-12 01:40:57,2026-08-03 22:40:57
pc_0031,till0031@example.com,fr,2025-04-14 01:40:57,2026-08-03 22:40:57
pc_0032,till0032@example.com,mx,2024-12-02 01:40:57,2026-08-03 22:40:57
pc_0033,till0033@example.com,it,2026-01-24 01:40:57,2026-08-03 22:40:57
pc_0034,till0034@example.com,gb,2025-05-16 01:40:57,2026-08-03 22:40:57
pc_0035,till0035@example.com,ES,2024-09-19 01:40:57,2026-08-03 22:40:57
pc_0036,till0036@example.com,se,2025-02-14 01:40:57,2026-08-03 22:40:57
pc_0037,till0037@example.com,ca,2026-05-07 01:40:57,2026-08-03 22:40:57
pc_0038,till0038@example.com,de,2025-12-10 01:40:57,2026-08-03 22:40:57
pc_0039,till0039@example.com,nl,2024-11-11 01:40:57,2026-08-03 22:40:57
pc_0040,till0040@example.com,US,2025-07-17 01:40:57,2026-08-03 22:40:57
