id,email,country_code,created_at,_fivetran_synced,_fivetran_deleted
c_0001,customer0001@example.com,ca,2026-02-04 12:29:50,2026-07-28 11:24:50,false
c_0002,customer0002@example.com,gb,2025-03-23 12:29:50,2026-07-28 12:11:50,false
c_0003,customer0003@example.com,fr,2024-02-16 12:29:50,2026-07-28 11:03:50,false
c_0004,customer0004@example.com,de,2024-02-09 12:29:50,2026-07-28 12:05:50,false
c_0005,customer0005@example.com,es,2024-11-07 12:29:50,2026-07-28 11:00:50,false
c_0006,customer0006@example.com,mx,2025-03-08 12:29:50,2026-07-28 11:12:50,false
c_0007,customer0007@example.com,NL,2025-02-22 12:29:50,2026-07-28 11:09:50,false
c_0008,customer0008@example.com,se,2024-04-21 12:29:50,2026-07-28 11:41:50,false
c_0009,customer0009@example.com,it,2024-05-07 12:29:50,2026-07-28 12:10:50,false
c_0010,customer0010@example.com,us,2025-05-25 12:29:50,2026-07-28 12:19:50,false
c_0011,customer0011@example.com,ca,2026-01-31 12:29:50,2026-07-28 11:50:50,false
c_0012,customer0012@example.com,gb,2025-10-28 12:29:50,2026-07-28 11:47:50,false
c_0013,customer0013@example.com,fr,2026-03-05 12:29:50,2026-07-28 12:00:50,false
c_0014,customer0014@example.com,DE,2025-10-31 12:29:50,2026-07-28 12:24:50,false
c_0015,customer0015@example.com,es,2024-12-14 12:29:50,2026-07-28 12:11:50,false
c_0016,customer0016@example.com,mx,2025-10-05 12:29:50,2026-07-28 11:47:50,false
c_0017,customer0017@example.com,nl,2025-07-25 12:29:50,2026-07-28 12:05:50,false
c_0018,customer0018@example.com,se,2026-06-11 12:29:50,2026-07-28 12:12:50,false
c_0019,customer0019@example.com,it,2026-05-18 12:29:50,2026-07-28 11:47:50,false
c_0020,customer0020@example.com,us,2024-12-26 12:29:50,2026-07-28 12:07:50,false
c_0021,customer0021@example.com,CA,2025-01-15 12:29:50,2026-07-28 11:32:50,false
c_0022,customer0022@example.com,gb,2025-11-12 12:29:50,2026-07-28 11:56:50,false
c_0023,customer0023@example.com,fr,2025-01-27 12:29:50,2026-07-28 12:08:50,false
c_0024,customer0024@example.com,de,2025-04-11 12:29:50,2026-07-28 11:10:50,false
c_0025,customer0025@example.com,es,2024-09-12 12:29:50,2026-07-28 11:32:50,false
